CurrPricePershare,ActualInvestedAmount,VirtualInvestedAmount,CurrentPortfolioVAlue,tax,profit_loss,PAT 
525, 1811975, 4017043.75, 7861875, 768966.25, 6049900, 5280933.75
526, 1811975, 4017043.75, 7876850, 771961.25, 6064875, 5292913.75
527, 1811975, 4017043.75, 7891825, 774956.25, 6079850, 5304893.75
528, 1811975, 4017043.75, 7906800, 777951.25, 6094825, 5316873.75
529, 1811975, 4017043.75, 7921775, 780946.25, 6109800, 5328853.75
530, 1811975, 4017043.75, 7936750, 783941.25, 6124775, 5340833.75
531, 1811975, 4017043.75, 7951725, 786936.25, 6139750, 5352813.75
532, 1811975, 4017043.75, 7966700, 789931.25, 6154725, 5364793.75
533, 1811975, 4017043.75, 7981675, 792926.25, 6169700, 5376773.75
534, 1811975, 4017043.75, 7996650, 795921.25, 6184675, 5388753.75
535, 1811975, 4017043.75, 8011625, 798916.25, 6199650, 5400733.75
536, 1811975, 4017043.75, 8026600, 801911.25, 6214625, 5412713.75
537, 1811975, 4017043.75, 8041575, 804906.25, 6229600, 5424693.75
538, 1811975, 4017043.75, 8056550, 807901.25, 6244575, 5436673.75
539, 1811975, 4017043.75, 8071525, 810896.25, 6259550, 5448653.75
540, 1811975, 4017043.75, 8086500, 813891.25, 6274525, 5460633.75
541, 1811975, 4017043.75, 8101475, 816886.25, 6289500, 5472613.75
542, 1811975, 4017043.75, 8116450, 819881.25, 6304475, 5484593.75
543, 1811975, 4017043.75, 8131425, 822876.25, 6319450, 5496573.75
544, 1811975, 4017043.75, 8146400, 825871.25, 6334425, 5508553.75
545, 1811975, 4017043.75, 8161375, 828866.25, 6349400, 5520533.75
546, 1811975, 4017043.75, 8176350, 831861.25, 6364375, 5532513.75
547, 1811975, 4017043.75, 8191325, 834856.25, 6379350, 5544493.75
548, 1811975, 4017043.75, 8206300, 837851.25, 6394325, 5556473.75
549, 1811975, 4017043.75, 8221275, 840846.25, 6409300, 5568453.75
550, 1811975, 4017043.75, 8236250, 843841.25, 6424275, 5580433.75
551, 1811975, 4017043.75, 8251225, 846836.25, 6439250, 5592413.75
552, 1811975, 4017043.75, 8266200, 849831.25, 6454225, 5604393.75
553, 1811975, 4017043.75, 8281175, 852826.25, 6469200, 5616373.75
554, 1811975, 4017043.75, 8296150, 855821.25, 6484175, 5628353.75
555, 1811975, 4017043.75, 8311125, 858816.25, 6499150, 5640333.75
556, 1811975, 4017043.75, 8326100, 861811.25, 6514125, 5652313.75
557, 1811975, 4017043.75, 8341075, 864806.25, 6529100, 5664293.75
558, 1811975, 4017043.75, 8356050, 867801.25, 6544075, 5676273.75
559, 1811975, 4017043.75, 8371025, 870796.25, 6559050, 5688253.75
560, 1811975, 4017043.75, 8386000, 873791.25, 6574025, 5700233.75
561, 1811975, 4017043.75, 8400975, 876786.25, 6589000, 5712213.75
562, 1811975, 4017043.75, 8415950, 879781.25, 6603975, 5724193.75
563, 1811975, 4017043.75, 8430925, 882776.25, 6618950, 5736173.75
564, 1811975, 4017043.75, 8445900, 885771.25, 6633925, 5748153.75
565, 1811975, 4017043.75, 8460875, 888766.25, 6648900, 5760133.75
566, 1811975, 4017043.75, 8475850, 891761.25, 6663875, 5772113.75
567, 1811975, 4017043.75, 8490825, 894756.25, 6678850, 5784093.75
568, 1811975, 4017043.75, 8505800, 897751.25, 6693825, 5796073.75
569, 1811975, 4017043.75, 8520775, 900746.25, 6708800, 5808053.75
570, 1811975, 4017043.75, 8535750, 903741.25, 6723775, 5820033.75
571, 1811975, 4017043.75, 8550725, 906736.25, 6738750, 5832013.75
572, 1811975, 4017043.75, 8565700, 909731.25, 6753725, 5843993.75
573, 1811975, 4017043.75, 8580675, 912726.25, 6768700, 5855973.75
574, 1811975, 4017043.75, 8595650, 915721.25, 6783675, 5867953.75
575, 1811975, 4017043.75, 8610625, 918716.25, 6798650, 5879933.75
576, 1811975, 4017043.75, 8625600, 921711.25, 6813625, 5891913.75
577, 1811975, 4017043.75, 8640575, 924706.25, 6828600, 5903893.75
578, 1811975, 4017043.75, 8655550, 927701.25, 6843575, 5915873.75
579, 1811975, 4017043.75, 8670525, 930696.25, 6858550, 5927853.75
580, 1811975, 4017043.75, 8685500, 933691.25, 6873525, 5939833.75
581, 1811975, 4017043.75, 8700475, 936686.25, 6888500, 5951813.75
582, 1811975, 4017043.75, 8715450, 939681.25, 6903475, 5963793.75
583, 1811975, 4017043.75, 8730425, 942676.25, 6918450, 5975773.75
584, 1811975, 4017043.75, 8745400, 945671.25, 6933425, 5987753.75
585, 1811975, 4017043.75, 8760375, 948666.25, 6948400, 5999733.75
586, 1811975, 4017043.75, 8775350, 951661.25, 6963375, 6011713.75
587, 1811975, 4017043.75, 8790325, 954656.25, 6978350, 6023693.75
588, 1811975, 4017043.75, 8805300, 957651.25, 6993325, 6035673.75
589, 1811975, 4017043.75, 8820275, 960646.25, 7008300, 6047653.75
590, 1811975, 4017043.75, 8835250, 963641.25, 7023275, 6059633.75
591, 1811975, 4017043.75, 8850225, 966636.25, 7038250, 6071613.75
592, 1811975, 4017043.75, 8865200, 969631.25, 7053225, 6083593.75
593, 1811975, 4017043.75, 8880175, 972626.25, 7068200, 6095573.75
594, 1811975, 4017043.75, 8895150, 975621.25, 7083175, 6107553.75
595, 1811975, 4017043.75, 8910125, 978616.25, 7098150, 6119533.75
596, 1811975, 4017043.75, 8925100, 981611.25, 7113125, 6131513.75
597, 1811975, 4017043.75, 8940075, 984606.25, 7128100, 6143493.75
598, 1811975, 4017043.75, 8955050, 987601.25, 7143075, 6155473.75
599, 1811975, 4017043.75, 8970025, 990596.25, 7158050, 6167453.75
600, 1811975, 4017043.75, 8985000, 993591.25, 7173025, 6179433.75
601, 1811975, 4017043.75, 8999975, 996586.25, 7188000, 6191413.75
602, 1811975, 4017043.75, 9014950, 999581.25, 7202975, 6203393.75
603, 1811975, 4017043.75, 9029925, 1002576.25, 7217950, 6215373.75
604, 1811975, 4017043.75, 9044900, 1005571.25, 7232925, 6227353.75
